Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Unimportant,Incremental Drift,Large,Important,Training,35.483903413283514,3.32,False
Linear regression,Unimportant,Incremental Drift,Large,Important,Training/Test,60.746013288101885,4.9,False
Linear regression,Unimportant,Incremental Drift,Large,Important,Test,510.42179463350726,13.63,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Training,30.387274107992983,3.17,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Training/Test,68.35862251642666,5.12,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Test,59.87478430451769,4.74,False
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Training,33.08562382512204,4.21,True
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Training/Test,55.50585187961069,5.73,True
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Test,51.71047931928842,5.56,True
Linear regression,Unimportant,No Drift,No Drift,No Drift,No Drift,23.963964178391286,3.76,False
Linear regression,Unimportant,Sudden Shock,Small,Important,3 days,23.60423448846956,3.75,False
Linear regression,Unimportant,Sudden Shock,Large,Important,3 days,24.001531692751108,3.76,False
Linear regression,Unimportant,Sudden Shock,Small,Important,7 days,24.09636096163052,3.78,False
Linear regression,Unimportant,Sudden Shock,Large,Important,7 days,24.708453336915795,3.79,False
Linear regression,None,Sudden Drift,Small,Important,Training,26.10804247905687,2.9,False
Linear regression,None,Sudden Drift,Small,Important,Training/Test,27.42937690863016,2.96,False
Linear regression,None,Sudden Drift,Small,Important,Test,34.200454872846244,3.34,False
Linear regression,None,Sudden Drift,Small,Medium,Training,25.77074503559238,2.99,False
Linear regression,None,Sudden Drift,Small,Medium,Training/Test,24.070950373014835,2.9,False
Linear regression,None,Sudden Drift,Small,Medium,Test,54.42280682786219,4.54,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training,25.43954352344012,3.01,False
Linear regression,None,Sudden Drift,Small,Unimportant,Training/Test,23.58325933650839,2.9,False
Linear regression,None,Sudden Drift,Small,Unimportant,Test,23.64329194208857,2.95,False
Linear regression,None,Sudden Drift,Large,Important,Training,31.648388547135625,2.73,False
Linear regression,None,Sudden Drift,Large,Important,Training/Test,33.35552685303596,2.78,False
Linear regression,None,Sudden Drift,Large,Important,Test,483.5571447092044,14.09,False
Linear regression,None,Sudden Drift,Large,Medium,Training,28.930915777760248,2.95,False
Linear regression,None,Sudden Drift,Large,Medium,Training/Test,25.295858180681783,2.78,False
Linear regression,None,Sudden Drift,Large,Medium,Test,485.583924778698,16.21,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training,26.139436044729283,2.98,False
Linear regression,None,Sudden Drift,Large,Unimportant,Training/Test,26.39135893081308,3.11,False
Linear regression,None,Sudden Drift,Large,Unimportant,Test,59.95670228525641,4.54,False
Linear regression,None,Incremental Drift,Small,Important,Training,27.250893964623824,2.98,False
Linear regression,None,Incremental Drift,Small,Important,Training/Test,26.01770774901476,2.88,False
Linear regression,None,Incremental Drift,Small,Important,Test,67.60910428227828,4.95,False
Linear regression,None,Incremental Drift,Small,Medium,Training,24.39045025112843,2.92,False
Linear regression,None,Incremental Drift,Small,Medium,Training/Test,27.918093806503588,3.1,False
Linear regression,None,Incremental Drift,Small,Medium,Test,50.01671244373154,4.23,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training,26.02733663527757,3.04,False
Linear regression,None,Incremental Drift,Small,Unimportant,Training/Test,23.12976429685455,2.89,False
Linear regression,None,Incremental Drift,Small,Unimportant,Test,24.269405990153604,3.02,False
Linear regression,None,Incremental Drift,Large,Important,Training,33.00640175310859,2.79,False
Linear regression,None,Incremental Drift,Large,Important,Training/Test,34.78979617018392,2.84,False
Linear regression,None,Incremental Drift,Large,Important,Test,423.5137918503973,12.59,False
Linear regression,None,Incremental Drift,Large,Medium,Training,28.44338519296826,2.93,False
Linear regression,None,Incremental Drift,Large,Medium,Training/Test,27.848452045782626,2.89,False
Linear regression,None,Incremental Drift,Large,Medium,Test,368.7252410863748,13.12,False
Linear regression,None,Incremental Drift,Large,Unimportant,Training,26.153808452571067,2.97,False
Linear regression,None,Incremental Drift,Large,Unimportant,Training/Test,26.28422006346928,3.11,False
Linear regression,None,Incremental Drift,Large,Unimportant,Test,30.94227342277059,3.28,False
Linear regression,None,No Drift,No Drift,No Drift,No Drift,26.902800754375946,3.12,False
Linear regression,None,Sudden Shock,Small,Important,3 days,24.788487544165864,3.01,False
Linear regression,None,Sudden Shock,Large,Important,3 days,24.32945292559544,2.98,False
Linear regression,None,Sudden Shock,Small,Important,7 days,25.90240582194781,3.07,False
Linear regression,None,Sudden Shock,Large,Important,7 days,25.93178108487108,3.06,False
Linear regression,Important,Sudden Drift,Small,Important,Training,49.28502687298239,4.29,True
Linear regression,Important,Sudden Drift,Small,Important,Training/Test,62.79052695804155,4.97,True
Linear regression,Important,Sudden Drift,Small,Important,Test,91.61632638967416,6.2,True
Linear regression,Important,Sudden Drift,Small,Medium,Training,26.703358274973542,3.05,False
Linear regression,Important,Sudden Drift,Small,Medium,Training/Test,24.53239299906874,2.92,False
Linear regression,Important,Sudden Drift,Small,Medium,Test,64.02477496293166,4.99,False
Linear regression,Important,Sudden Drift,Small,Unimportant,Training,26.678166223701467,3.07,False
Linear regression,Important,Sudden Drift,Small,Unimportant,Training/Test,23.94681163209655,2.92,False
Linear regression,Important,Sudden Drift,Small,Unimportant,Test,23.99249902917841,2.96,False
Linear regression,Important,Sudden Drift,Large,Important,Training,389.3910891048456,10.88,True
Linear regression,Important,Sudden Drift,Large,Important,Training/Test,641.9479134631498,16.68,True
Linear regression,Important,Sudden Drift,Large,Important,Test,1082.640578294789,22.37,True
Linear regression,Important,Sudden Drift,Large,Medium,Training,29.29949813077237,2.96,False
Linear regression,Important,Sudden Drift,Large,Medium,Training/Test,26.83364922810438,2.84,False
Linear regression,Important,Sudden Drift,Large,Medium,Test,614.5273518593128,18.55,False
Linear regression,Important,Sudden Drift,Large,Unimportant,Training,27.589224528971705,3.05,False
Linear regression,Important,Sudden Drift,Large,Unimportant,Training/Test,25.94866144505004,3.07,False
Linear regression,Important,Sudden Drift,Large,Unimportant,Test,26.84877822379905,3.13,False
Linear regression,Important,Incremental Drift,Small,Important,Training,49.20072502884287,4.25,True
Linear regression,Important,Incremental Drift,Small,Important,Training/Test,80.39896546720406,5.7,True
Linear regression,Important,Incremental Drift,Small,Important,Test,76.69913696963354,5.39,True
Linear regression,Important,Incremental Drift,Small,Medium,Training,25.942732720401608,3.01,False
Linear regression,Important,Incremental Drift,Small,Medium,Training/Test,33.597618632982034,3.38,False
Linear regression,Important,Incremental Drift,Small,Medium,Test,56.41898951745358,4.53,False
Linear regression,Important,Incremental Drift,Small,Unimportant,Training,25.84064103886892,3.03,False
Linear regression,Important,Incremental Drift,Small,Unimportant,Training/Test,24.50349264551068,2.96,False
Linear regression,Important,Incremental Drift,Small,Unimportant,Test,23.752272704256058,2.92,False
Linear regression,Important,Incremental Drift,Large,Important,Training,364.52911719309,10.48,True
Linear regression,Important,Incremental Drift,Large,Important,Training/Test,904.3801588810012,20.28,True
Linear regression,Important,Incremental Drift,Large,Important,Test,846.5672709168175,18.59,True
Linear regression,Important,Incremental Drift,Large,Medium,Training,29.45522891352592,2.98,False
Linear regression,Important,Incremental Drift,Large,Medium,Training/Test,26.333240049650293,2.82,False
Linear regression,Important,Incremental Drift,Large,Medium,Test,451.89874898055206,14.79,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Training,27.357914306157923,3.04,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Training/Test,25.78446984485734,3.05,False
Linear regression,Important,Incremental Drift,Large,Unimportant,Test,26.517140953724205,3.1,False
Linear regression,Important,No Drift,No Drift,No Drift,No Drift,25.13328619442884,3.02,False
Linear regression,Important,Sudden Shock,Small,Important,3 days,26.13953824912114,3.09,True
Linear regression,Important,Sudden Shock,Large,Important,3 days,50.2207241987602,3.62,True
Linear regression,Important,Sudden Shock,Small,Important,7 days,27.314760467448007,3.16,True
Linear regression,Important,Sudden Shock,Large,Important,7 days,53.87989085622712,3.73,True
Linear regression,Medium,Sudden Drift,Small,Important,Training,25.54619268843658,2.88,False
Linear regression,Medium,Sudden Drift,Small,Important,Training/Test,26.08302587786586,2.89,False
Linear regression,Medium,Sudden Drift,Small,Important,Test,43.95721538808522,3.88,False
Linear regression,Medium,Sudden Drift,Small,Medium,Training,28.95847376860162,3.24,True
Linear regression,Medium,Sudden Drift,Small,Medium,Training/Test,30.510217720685183,3.28,True
Linear regression,Medium,Sudden Drift,Small,Medium,Test,37.2573943064776,3.6,True
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training,25.21071114958135,3.0,False
Linear regression,Medium,Sudden Drift,Small,Unimportant,Training/Test,25.10152351008656,2.99,False
Linear regression,Medium,Sudden Drift,Small,Unimportant,Test,23.05360888964348,2.92,False
Linear regression,Medium,Sudden Drift,Large,Important,Training,31.370351966753496,2.72,False
