Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,Switched,MSE,SMAPE,Dropped drifting
Ensemble,None,Incremental Drift,Large,Medium,Test,False,64.14361761852206,4.07,False
Ensemble,None,Incremental Drift,Large,Unimportant,Training,False,23.352713004708143,2.56,False
Ensemble,None,Incremental Drift,Large,Unimportant,Training/Test,False,26.55820362823945,2.73,False
Ensemble,None,Incremental Drift,Large,Unimportant,Test,False,27.088460796437005,2.83,False
Ensemble,None,No Drift,No Drift,No Drift,No Drift,False,21.833318668389417,2.56,False
Ensemble,None,Sudden Shock,Small,Important,3 days,False,23.67115729016009,2.63,False
Ensemble,None,Sudden Shock,Large,Important,3 days,False,42.501148241605385,2.94,False
Ensemble,None,Sudden Shock,Small,Important,7 days,False,27.001331378479584,2.85,False
Ensemble,None,Sudden Shock,Large,Important,7 days,False,47.489204843210814,2.92,False
Ensemble,Important,Sudden Drift,Small,Important,Training,False,47.56489481403274,3.77,True
Ensemble,Important,Sudden Drift,Small,Important,Training/Test,False,62.23611900890312,4.43,True
Ensemble,Important,Sudden Drift,Small,Important,Test,True,69.0621922073171,4.27,True
Ensemble,Important,Sudden Drift,Small,Medium,Training,False,22.151422467049784,2.59,False
Ensemble,Important,Sudden Drift,Small,Medium,Training/Test,False,29.76609609711204,2.98,False
Ensemble,Important,Sudden Drift,Small,Medium,Test,False,26.81026906985919,2.88,False
Ensemble,Important,Sudden Drift,Small,Unimportant,Training,False,20.274777038628223,2.51,False
Ensemble,Important,Sudden Drift,Small,Unimportant,Training/Test,False,24.714800217295576,2.82,False
Ensemble,Important,Sudden Drift,Small,Unimportant,Test,False,24.68604329343948,2.79,False
Ensemble,Important,Sudden Drift,Large,Important,Training,False,349.51833971805127,8.53,True
Ensemble,Important,Sudden Drift,Large,Important,Training/Test,False,76.03861967172348,3.69,True
Ensemble,Important,Sudden Drift,Large,Important,Test,True,656.7163902009432,12.01,True
Ensemble,Important,Sudden Drift,Large,Medium,Training,False,37.66714468703516,3.37,False
Ensemble,Important,Sudden Drift,Large,Medium,Training/Test,False,48.077968333481365,3.63,False
Ensemble,Important,Sudden Drift,Large,Medium,Test,False,70.67149518494273,4.37,False
Ensemble,Important,Sudden Drift,Large,Unimportant,Training,False,20.54912659878189,2.5,False
Ensemble,Important,Sudden Drift,Large,Unimportant,Training/Test,False,24.536074266114078,2.78,False
Ensemble,Important,Sudden Drift,Large,Unimportant,Test,False,24.04262853663638,2.71,False
Ensemble,Important,Incremental Drift,Small,Important,Training,False,56.497524707811046,4.14,True
Ensemble,Important,Incremental Drift,Small,Important,Training/Test,True,65.3889870912578,4.28,True
Ensemble,Important,Incremental Drift,Small,Important,Test,True,62.47707191756098,4.02,True
Ensemble,Important,Incremental Drift,Small,Medium,Training,False,22.10613427679681,2.54,False
Ensemble,Important,Incremental Drift,Small,Medium,Training/Test,False,25.15165655239728,2.77,False
Ensemble,Important,Incremental Drift,Small,Medium,Test,False,27.013727161476343,2.89,False
Ensemble,Important,Incremental Drift,Small,Unimportant,Training,False,19.744307128257898,2.45,False
Ensemble,Important,Incremental Drift,Small,Unimportant,Training/Test,False,22.70497953337249,2.62,False
Ensemble,Important,Incremental Drift,Small,Unimportant,Test,False,24.223237223544885,2.76,False
Ensemble,Important,Incremental Drift,Large,Important,Training,False,404.4993208273047,9.22,True
Ensemble,Important,Incremental Drift,Large,Important,Training/Test,True,538.3046965228734,10.77,True
Ensemble,Important,Incremental Drift,Large,Important,Test,True,397.19705936638655,9.37,True
Ensemble,Important,Incremental Drift,Large,Medium,Training,False,36.47204916222694,3.32,False
Ensemble,Important,Incremental Drift,Large,Medium,Training/Test,False,54.86201721415236,3.82,False
Ensemble,Important,Incremental Drift,Large,Medium,Test,False,63.559321903235926,4.18,False
Ensemble,Important,Incremental Drift,Large,Unimportant,Training,False,18.82144218523233,2.34,False
Ensemble,Important,Incremental Drift,Large,Unimportant,Training/Test,False,21.150120507138546,2.51,False
Ensemble,Important,Incremental Drift,Large,Unimportant,Test,False,24.638520072260608,2.76,False
Ensemble,Important,No Drift,No Drift,No Drift,No Drift,False,18.764589822437568,2.41,False
Ensemble,Important,Sudden Shock,Small,Important,3 days,False,23.390823237395505,2.62,True
Ensemble,Important,Sudden Shock,Large,Important,3 days,False,72.08561252841245,3.33,True
Ensemble,Important,Sudden Shock,Small,Important,7 days,False,22.41521326204229,2.52,True
Ensemble,Important,Sudden Shock,Large,Important,7 days,False,91.13926858428836,3.58,True
Ensemble,Medium,Sudden Drift,Small,Important,Training,False,47.03470818518061,3.77,False
Ensemble,Medium,Sudden Drift,Small,Important,Training/Test,False,47.40286584924392,3.76,False
