Algorithm,Dropped variable,Drift type,Drift magnitude,Variable importance,Drift time,MSE,SMAPE,Dropped drifting
Linear regression,Unimportant,Incremental Drift,Large,Important,Training/Test,40.960734817878205,2.84,False
Linear regression,Unimportant,Incremental Drift,Large,Important,Test,1061.694489506398,17.81,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Training,40.02219660640316,3.25,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Training/Test,46.78048868598715,3.4,False
Linear regression,Unimportant,Incremental Drift,Large,Medium,Test,80.63630921648682,4.89,False
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Training,38.14349456622819,3.53,True
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Training/Test,42.06294084181366,3.76,True
Linear regression,Unimportant,Incremental Drift,Large,Unimportant,Test,41.59189719447031,3.73,True
Linear regression,Unimportant,No Drift,No Drift,No Drift,No Drift,34.529621236048754,3.54,False
Linear regression,Unimportant,Sudden Shock,Small,Important,3 days,35.67467417845864,3.58,False
Linear regression,Unimportant,Sudden Shock,Large,Important,3 days,36.28830717975046,3.62,False
Linear regression,Unimportant,Sudden Shock,Small,Important,7 days,34.204915617212365,3.51,False
Linear regression,Unimportant,Sudden Shock,Large,Important,7 days,36.22993427319349,3.64,False
Linear regression online,None,Sudden Drift,Small,Important,Training,34.53027504289321,3.15,False
Linear regression online,None,Sudden Drift,Small,Important,Training/Test,34.25315467162255,3.14,False
Linear regression online,None,Sudden Drift,Small,Important,Test,48.55607330726507,3.75,False
Linear regression online,None,Sudden Drift,Small,Medium,Training,33.70660735784793,3.27,False
Linear regression online,None,Sudden Drift,Small,Medium,Training/Test,33.00897484906453,3.22,False
Linear regression online,None,Sudden Drift,Small,Medium,Test,34.32568641366858,3.28,False
Linear regression online,None,Sudden Drift,Small,Unimportant,Training,33.10056991664613,3.3,False
Linear regression online,None,Sudden Drift,Small,Unimportant,Training/Test,32.95432950313828,3.3,False
Linear regression online,None,Sudden Drift,Small,Unimportant,Test,33.95761337946484,3.34,False
Linear regression online,None,Sudden Drift,Large,Important,Training,43.3185359474852,2.91,False
Linear regression online,None,Sudden Drift,Large,Important,Training/Test,43.65032879805262,2.93,False
Linear regression online,None,Sudden Drift,Large,Important,Test,99.84985880381764,4.14,False
Linear regression online,None,Sudden Drift,Large,Medium,Training,36.7589861761273,3.16,False
Linear regression online,None,Sudden Drift,Large,Medium,Training/Test,38.72166520825644,3.27,False
Linear regression online,None,Sudden Drift,Large,Medium,Test,53.03037710304165,3.86,False
Linear regression online,None,Sudden Drift,Large,Unimportant,Training,34.01127823577091,3.29,False
Linear regression online,None,Sudden Drift,Large,Unimportant,Training/Test,33.368441119376605,3.26,False
Linear regression online,None,Sudden Drift,Large,Unimportant,Test,56.47780040758543,4.35,False
Linear regression online,None,Incremental Drift,Small,Important,Training,34.64164394408591,3.16,False
Linear regression online,None,Incremental Drift,Small,Important,Training/Test,40.61481138387576,3.43,False
Linear regression online,None,Incremental Drift,Small,Important,Test,46.04984257814453,3.73,False
Linear regression online,None,Incremental Drift,Small,Medium,Training,33.696707113189646,3.27,False
Linear regression online,None,Incremental Drift,Small,Medium,Training/Test,34.07883062689589,3.28,False
Linear regression online,None,Incremental Drift,Small,Medium,Test,37.05598963665547,3.48,False
Linear regression online,None,Incremental Drift,Small,Unimportant,Training,32.73979952942514,3.28,False
Linear regression online,None,Incremental Drift,Small,Unimportant,Training/Test,33.382670236231945,3.31,False
Linear regression online,None,Incremental Drift,Small,Unimportant,Test,34.353165610903865,3.37,False
Linear regression online,None,Incremental Drift,Large,Important,Training,43.32132219899359,2.92,False
Linear regression online,None,Incremental Drift,Large,Important,Training/Test,46.04443869079987,3.03,False
Linear regression online,None,Incremental Drift,Large,Important,Test,73.1346947190072,4.09,False
Linear regression online,None,Incremental Drift,Large,Medium,Training,36.2862120204057,3.14,False
Linear regression online,None,Incremental Drift,Large,Medium,Training/Test,43.879387230057,3.51,False
Linear regression online,None,Incremental Drift,Large,Medium,Test,56.40791507321392,4.05,False
Linear regression online,None,Incremental Drift,Large,Unimportant,Training,33.449736448843886,3.26,False
Linear regression online,None,Incremental Drift,Large,Unimportant,Training/Test,40.00445382167256,3.54,False
Linear regression online,None,Incremental Drift,Large,Unimportant,Test,50.10538205030765,4.03,False
Linear regression online,None,No Drift,No Drift,No Drift,No Drift,33.329653739973296,3.34,False
Linear regression online,None,Sudden Shock,Small,Important,3 days,33.8318639847128,3.37,False
Linear regression online,None,Sudden Shock,Large,Important,3 days,32.69815312532857,3.3,False
Linear regression online,None,Sudden Shock,Small,Important,7 days,32.835165712389575,3.32,False
Linear regression online,None,Sudden Shock,Large,Important,7 days,33.275745118994074,3.32,False
Linear regression online,Important,Sudden Drift,Small,Important,Training,48.36828400727855,3.86,True
Linear regression online,Important,Sudden Drift,Small,Important,Training/Test,50.37854951768849,3.83,True
Linear regression online,Important,Sudden Drift,Small,Important,Test,65.95887593694037,4.39,True
Linear regression online,Important,Sudden Drift,Small,Medium,Training,33.76372595477146,3.27,False
Linear regression online,Important,Sudden Drift,Small,Medium,Training/Test,33.25725675606971,3.24,False
Linear regression online,Important,Sudden Drift,Small,Medium,Test,34.07005841953989,3.27,False
Linear regression online,Important,Sudden Drift,Small,Unimportant,Training,33.37963643781852,3.33,False
Linear regression online,Important,Sudden Drift,Small,Unimportant,Training/Test,33.31507280446456,3.32,False
Linear regression online,Important,Sudden Drift,Small,Unimportant,Test,34.24812109040298,3.36,False
Linear regression online,Important,Sudden Drift,Large,Important,Training,241.8300556672924,7.63,True
Linear regression online,Important,Sudden Drift,Large,Important,Training/Test,349.7193994352281,8.41,True
Linear regression online,Important,Sudden Drift,Large,Important,Test,456.63443489726575,9.83,True
Linear regression online,Important,Sudden Drift,Large,Medium,Training,37.60149098235743,3.21,False
Linear regression online,Important,Sudden Drift,Large,Medium,Training/Test,40.05481528261962,3.33,False
Linear regression online,Important,Sudden Drift,Large,Medium,Test,60.45353095275551,4.11,False
Linear regression online,Important,Sudden Drift,Large,Unimportant,Training,33.423074415695666,3.26,False
Linear regression online,Important,Sudden Drift,Large,Unimportant,Training/Test,33.63547102525295,3.25,False
Linear regression online,Important,Sudden Drift,Large,Unimportant,Test,57.17226316750718,4.38,False
Linear regression online,Important,Incremental Drift,Small,Important,Training,45.29932887337269,3.72,True
Linear regression online,Important,Incremental Drift,Small,Important,Training/Test,55.91293642872113,4.08,True
Linear regression online,Important,Incremental Drift,Small,Important,Test,56.53404566250037,4.11,True
Linear regression online,Important,Incremental Drift,Small,Medium,Training,34.00903715738513,3.28,False
Linear regression online,Important,Incremental Drift,Small,Medium,Training/Test,33.76888632379155,3.26,False
Linear regression online,Important,Incremental Drift,Small,Medium,Test,35.44646083950743,3.38,False
Linear regression online,Important,Incremental Drift,Small,Unimportant,Training,33.50180055321889,3.33,False
Linear regression online,Important,Incremental Drift,Small,Unimportant,Training/Test,33.699085732969465,3.33,False
Linear regression online,Important,Incremental Drift,Small,Unimportant,Test,34.503719112817066,3.39,False
Linear regression online,Important,Incremental Drift,Large,Important,Training,220.07167899137116,7.26,True
Linear regression online,Important,Incremental Drift,Large,Important,Training/Test,377.1759363978387,9.31,True
Linear regression online,Important,Incremental Drift,Large,Important,Test,398.749100746115,9.65,True
Linear regression online,Important,Incremental Drift,Large,Medium,Training,36.43916059739957,3.15,False
Linear regression online,Important,Incremental Drift,Large,Medium,Training/Test,44.8542993934572,3.55,False
Linear regression online,Important,Incremental Drift,Large,Medium,Test,52.04510121546515,3.85,False
Linear regression online,Important,Incremental Drift,Large,Unimportant,Training,33.193824814650945,3.25,False
Linear regression online,Important,Incremental Drift,Large,Unimportant,Training/Test,40.52046312633311,3.57,False
Linear regression online,Important,Incremental Drift,Large,Unimportant,Test,48.85028230050473,3.95,False
Linear regression online,Important,No Drift,No Drift,No Drift,No Drift,33.04606322506641,3.33,False
Linear regression online,Important,Sudden Shock,Small,Important,3 days,36.53185870805379,3.48,True
Linear regression online,Important,Sudden Shock,Large,Important,3 days,77.62535541283907,4.03,True
Linear regression online,Important,Sudden Shock,Small,Important,7 days,35.96810752873343,3.45,True
Linear regression online,Important,Sudden Shock,Large,Important,7 days,77.15216887180833,4.04,True
Linear regression online,Medium,Sudden Drift,Small,Important,Training,35.426684011066,3.19,False
Linear regression online,Medium,Sudden Drift,Small,Important,Training/Test,35.07609404951954,3.17,False
Linear regression online,Medium,Sudden Drift,Small,Important,Test,48.13788272588712,3.74,False
Linear regression online,Medium,Sudden Drift,Small,Medium,Training,35.59744349495563,3.39,True
