LoadDate,Unnamed: 0,Group_Item,OrderQtyFirst,Year,Quarter,Month,Week,DayOfWeek,DayOfYear
2015-02-12 00:00:00+00:00,43302,2,17.0,2015,1,2,7,3,43
2015-02-13 00:00:00+00:00,55459,3,78.0,2015,1,2,7,4,44
2015-02-13 00:00:00+00:00,40414,1,47.0,2015,1,2,7,4,44
2015-02-13 00:00:00+00:00,34539,4,45.0,2015,1,2,7,4,44
2015-02-13 00:00:00+00:00,43359,2,25.0,2015,1,2,7,4,44
2015-02-13 00:00:00+00:00,25557,5,70.0,2015,1,2,7,4,44
2015-02-14 00:00:00+00:00,55035,3,6.0,2015,1,2,7,5,45
2015-02-14 00:00:00+00:00,33157,4,16.0,2015,1,2,7,5,45
2015-02-14 00:00:00+00:00,43251,2,8.0,2015,1,2,7,5,45
2015-02-14 00:00:00+00:00,25031,5,8.0,2015,1,2,7,5,45
2015-02-14 00:00:00+00:00,39815,1,23.0,2015,1,2,7,5,45
2015-02-15 00:00:00+00:00,26537,5,8.0,2015,1,2,7,6,46
2015-02-16 00:00:00+00:00,33062,4,67.0,2015,1,2,8,0,47
2015-02-16 00:00:00+00:00,26659,5,61.0,2015,1,2,8,0,47
2015-02-16 00:00:00+00:00,55353,3,61.0,2015,1,2,8,0,47
2015-02-16 00:00:00+00:00,39111,1,53.0,2015,1,2,8,0,47
2015-02-16 00:00:00+00:00,43451,2,23.0,2015,1,2,8,0,47
2015-02-17 00:00:00+00:00,39325,1,19.0,2015,1,2,8,1,48
2015-02-17 00:00:00+00:00,54079,3,22.0,2015,1,2,8,1,48
2015-02-17 00:00:00+00:00,33285,4,13.0,2015,1,2,8,1,48
2015-02-17 00:00:00+00:00,43502,2,6.0,2015,1,2,8,1,48
2015-02-17 00:00:00+00:00,26347,5,42.0,2015,1,2,8,1,48
2015-02-18 00:00:00+00:00,43082,2,18.0,2015,1,2,8,2,49
2015-02-18 00:00:00+00:00,55204,3,70.0,2015,1,2,8,2,49
2015-02-18 00:00:00+00:00,26424,5,34.0,2015,1,2,8,2,49
2015-02-18 00:00:00+00:00,34341,4,37.0,2015,1,2,8,2,49
2015-02-18 00:00:00+00:00,39112,1,33.0,2015,1,2,8,2,49
2015-02-19 00:00:00+00:00,53874,3,44.0,2015,1,2,8,3,50
2015-02-19 00:00:00+00:00,26469,5,62.0,2015,1,2,8,3,50
2015-02-19 00:00:00+00:00,39936,1,18.0,2015,1,2,8,3,50
2015-02-19 00:00:00+00:00,43344,2,17.0,2015,1,2,8,3,50
2015-02-19 00:00:00+00:00,34664,4,40.0,2015,1,2,8,3,50
2015-02-20 00:00:00+00:00,33869,4,42.0,2015,1,2,8,4,51
2015-02-20 00:00:00+00:00,39335,1,61.0,2015,1,2,8,4,51
2015-02-20 00:00:00+00:00,54780,3,65.0,2015,1,2,8,4,51
2015-02-20 00:00:00+00:00,43994,2,28.0,2015,1,2,8,4,51
2015-02-20 00:00:00+00:00,25428,5,59.0,2015,1,2,8,4,51
2015-02-21 00:00:00+00:00,26690,5,10.0,2015,1,2,8,5,52
2015-02-21 00:00:00+00:00,39139,1,26.0,2015,1,2,8,5,52
2015-02-21 00:00:00+00:00,53836,3,8.0,2015,1,2,8,5,52
2015-02-21 00:00:00+00:00,43604,2,8.0,2015,1,2,8,5,52
2015-02-21 00:00:00+00:00,33415,4,20.0,2015,1,2,8,5,52
2015-02-22 00:00:00+00:00,26191,5,8.0,2015,1,2,8,6,53
2015-02-23 00:00:00+00:00,44314,2,26.0,2015,1,2,9,0,54
2015-02-23 00:00:00+00:00,55645,3,60.0,2015,1,2,9,0,54
2015-02-23 00:00:00+00:00,33269,4,61.0,2015,1,2,9,0,54
2015-02-23 00:00:00+00:00,39221,1,26.0,2015,1,2,9,0,54
2015-02-23 00:00:00+00:00,26593,5,61.0,2015,1,2,9,0,54
2015-02-24 00:00:00+00:00,25917,5,6.0,2015,1,2,9,1,55
2015-02-24 00:00:00+00:00,34590,4,15.0,2015,1,2,9,1,55
2015-02-24 00:00:00+00:00,44218,2,13.0,2015,1,2,9,1,55
2015-02-24 00:00:00+00:00,54161,3,26.0,2015,1,2,9,1,55
2015-02-24 00:00:00+00:00,39056,1,27.0,2015,1,2,9,1,55
2015-02-25 00:00:00+00:00,33181,4,47.0,2015,1,2,9,2,56
2015-02-25 00:00:00+00:00,26529,5,40.0,2015,1,2,9,2,56
2015-02-25 00:00:00+00:00,55606,3,26.0,2015,1,2,9,2,56
2015-02-25 00:00:00+00:00,42736,2,17.0,2015,1,2,9,2,56
2015-02-25 00:00:00+00:00,39903,1,31.0,2015,1,2,9,2,56
2015-02-26 00:00:00+00:00,43239,2,11.0,2015,1,2,9,3,57
2015-02-26 00:00:00+00:00,54962,3,108.0,2015,1,2,9,3,57
2015-02-26 00:00:00+00:00,26348,5,62.0,2015,1,2,9,3,57
2015-02-26 00:00:00+00:00,38756,1,23.0,2015,1,2,9,3,57
2015-02-26 00:00:00+00:00,33809,4,25.0,2015,1,2,9,3,57
2015-02-27 00:00:00+00:00,39896,1,34.0,2015,1,2,9,4,58
2015-02-27 00:00:00+00:00,44146,2,22.0,2015,1,2,9,4,58
2015-02-27 00:00:00+00:00,33744,4,47.0,2015,1,2,9,4,58
2015-02-27 00:00:00+00:00,26042,5,60.0,2015,1,2,9,4,58
2015-02-27 00:00:00+00:00,54625,3,51.0,2015,1,2,9,4,58
2015-02-28 00:00:00+00:00,43097,2,8.0,2015,1,2,9,5,59
2015-02-28 00:00:00+00:00,33611,4,20.0,2015,1,2,9,5,59
2015-02-28 00:00:00+00:00,39575,1,21.0,2015,1,2,9,5,59
2015-02-28 00:00:00+00:00,26691,5,6.0,2015,1,2,9,5,59
2015-03-01 00:00:00+00:00,26216,5,10.0,2015,1,3,9,6,60
2015-03-02 00:00:00+00:00,38933,1,28.0,2015,1,3,10,0,61
2015-03-02 00:00:00+00:00,26462,5,60.0,2015,1,3,10,0,61
2015-03-02 00:00:00+00:00,55157,3,48.0,2015,1,3,10,0,61
2015-03-02 00:00:00+00:00,34720,4,53.0,2015,1,3,10,0,61
2015-03-02 00:00:00+00:00,44323,2,29.0,2015,1,3,10,0,61
2015-03-03 00:00:00+00:00,25998,5,30.0,2015,1,3,10,1,62
2015-03-03 00:00:00+00:00,55257,3,24.0,2015,1,3,10,1,62
2015-03-03 00:00:00+00:00,39594,1,42.0,2015,1,3,10,1,62
2015-03-03 00:00:00+00:00,44273,2,12.0,2015,1,3,10,1,62
2015-03-03 00:00:00+00:00,34596,4,11.0,2015,1,3,10,1,62
2015-03-04 00:00:00+00:00,43233,2,15.0,2015,1,3,10,2,63
2015-03-04 00:00:00+00:00,54352,3,24.0,2015,1,3,10,2,63
2015-03-04 00:00:00+00:00,33102,4,31.0,2015,1,3,10,2,63
2015-03-04 00:00:00+00:00,40385,1,25.0,2015,1,3,10,2,63
2015-03-04 00:00:00+00:00,25380,5,18.0,2015,1,3,10,2,63
2015-03-05 00:00:00+00:00,26152,5,100.0,2015,1,3,10,3,64
2015-03-05 00:00:00+00:00,42565,2,17.0,2015,1,3,10,3,64
2015-03-05 00:00:00+00:00,54781,3,87.0,2015,1,3,10,3,64
2015-03-05 00:00:00+00:00,39222,1,43.0,2015,1,3,10,3,64
2015-03-05 00:00:00+00:00,33538,4,39.0,2015,1,3,10,3,64
2015-03-06 00:00:00+00:00,33456,4,42.0,2015,1,3,10,4,65
2015-03-06 00:00:00+00:00,54440,3,42.0,2015,1,3,10,4,65
2015-03-06 00:00:00+00:00,42801,2,15.0,2015,1,3,10,4,65
2015-03-06 00:00:00+00:00,38896,1,36.0,2015,1,3,10,4,65
2015-03-06 00:00:00+00:00,26207,5,58.0,2015,1,3,10,4,65
2015-03-07 00:00:00+00:00,44054,2,5.0,2015,1,3,10,5,66
2015-03-07 00:00:00+00:00,26023,5,10.0,2015,1,3,10,5,66
2015-03-07 00:00:00+00:00,33435,4,10.0,2015,1,3,10,5,66
2015-03-07 00:00:00+00:00,40432,1,10.0,2015,1,3,10,5,66
2015-03-08 00:00:00+00:00,25146,5,10.0,2015,1,3,10,6,67
2015-03-09 00:00:00+00:00,33870,4,63.0,2015,1,3,11,0,68
2015-03-09 00:00:00+00:00,42848,2,30.0,2015,1,3,11,0,68
2015-03-09 00:00:00+00:00,39370,1,44.0,2015,1,3,11,0,68
2015-03-09 00:00:00+00:00,54974,3,73.0,2015,1,3,11,0,68
